date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:21	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-652f4ed9-ac8d107c1b52ed51;gz%22	https://html.slicemypage.com/robots.txt		(from )
21:33:21	8666/8666	---M-Z	200	added ('OK')	text/html	etag:%2221da-6806422e-cf32fe8e31e0c8d;gz%22	https://html.slicemypage.com/boka/	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/index.html	(from )
21:33:21	4852/4852	---M--	200	added ('OK')	image/png	etag:%2212f4-6806422e-86728171ef1db847;;;%22	https://html.slicemypage.com/boka/include/images/favicon.png	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/images/favicon.png	(from https://html.slicemypage.com/boka/)
21:33:22	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-6806422e-45b8c4f673446c16;gz%22	https://html.slicemypage.com/boka/include/css/bootstrap.min.css	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/css/bootstrap.min.css	(from https://html.slicemypage.com/boka/)
21:33:22	18431/18431	---M-Z	200	added ('OK')	text/css	etag:%2247ff-6806422e-15b09136f80f8e73;gz%22	https://html.slicemypage.com/boka/include/css/swiper-bundle.min.css	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/css/swiper-bundle.min.css	(from https://html.slicemypage.com/boka/)
21:33:23	96518/96518	---M-Z	200	added ('OK')	text/css	etag:%2217906-6806422e-bb71697205bc69cf;gz%22	https://html.slicemypage.com/boka/include/css/fontawesome.min.css	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/css/fontawesome.min.css	(from https://html.slicemypage.com/boka/)
21:33:24	134328/134328	---M-Z	200	added ('OK')	text/css	etag:%2220cb8-6806422e-ff0388fbcd9ea658;gz%22	https://html.slicemypage.com/boka/include/css/style.css	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/css/style.css	(from https://html.slicemypage.com/boka/)
21:33:24	106374/106374	---M-Z	200	added ('OK')	text/html	etag:%2219f86-6806422e-f6dea3c4c1eb3635;gz%22	https://html.slicemypage.com/boka/index-v1.html	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/index-v1.html	(from https://html.slicemypage.com/boka/)
21:33:24	107701/107701	---M-Z	200	added ('OK')	text/html	etag:%221a4b5-6806422e-d3762463abc9c67c;gz%22	https://html.slicemypage.com/boka/index-v2.html	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/index-v2.html	(from https://html.slicemypage.com/boka/)
21:33:25	107715/107715	---M-Z	200	added ('OK')	text/html	etag:%221a4c3-6806422e-38291cf7122c5a50;gz%22	https://html.slicemypage.com/boka/index-v3.html	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/index-v3.html	(from https://html.slicemypage.com/boka/)
21:33:25	196124/196124	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Apr%202025%2016:33:50%20GMT	https://html.slicemypage.com/boka/include/images/landing-img/boka-version1-preview.png	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/images/landing-img/boka-version1-preview.png	(from https://html.slicemypage.com/boka/)
21:33:26	195169/195169	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Apr%202025%2016:33:51%20GMT	https://html.slicemypage.com/boka/include/images/landing-img/boka-version2-preview.png	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/images/landing-img/boka-version2-preview.png	(from https://html.slicemypage.com/boka/)
21:33:27	87533/87533	---M-Z	200	added ('OK')	application/x-javascript	etag:%22155ed-6806422e-c3a36928d435874e;gz%22	https://html.slicemypage.com/boka/include/js/jquery-3.7.1.min.js	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/js/jquery-3.7.1.min.js	(from https://html.slicemypage.com/boka/)
21:33:27	80721/80721	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213b51-6806422e-ede1fdfa950d9091;gz%22	https://html.slicemypage.com/boka/include/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/js/bootstrap.bundle.min.js	(from https://html.slicemypage.com/boka/)
21:33:27	140716/140716	---M-Z	200	added ('OK')	application/x-javascript	etag:%22225ac-6806422e-1f9636584ae4978f;gz%22	https://html.slicemypage.com/boka/include/js/swiper-bundle.min.js	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/js/swiper-bundle.min.js	(from https://html.slicemypage.com/boka/)
21:33:28	71520/71520	---M-Z	200	added ('OK')	application/x-javascript	etag:%2211760-6806422e-e1aaf1ca7652c197;gz%22	https://html.slicemypage.com/boka/include/js/gsap.min.js	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/js/gsap.min.js	(from https://html.slicemypage.com/boka/)
21:33:28	190793/190793	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Apr%202025%2016:33:52%20GMT	https://html.slicemypage.com/boka/include/images/landing-img/boka-version3-preview.png	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/images/landing-img/boka-version3-preview.png	(from https://html.slicemypage.com/boka/)
21:33:28	42667/42667	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a6ab-6806422e-c636484d8cf2e7f7;gz%22	https://html.slicemypage.com/boka/include/js/ScrollTrigger.min.js	C:/My%20Web%20Sites/porfilo/html.slicemypage.com/boka/include/js/ScrollTrigger.min.js	(from https://html.slicemypage.com/boka/)
